"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL4296535";"Smooth muscle of trachea";"";"TISSUE";"Cavia porcellus";"25";"74";"10141";"False"
"CHEMBL4296542";"Trachea";"";"TISSUE";"Rattus norvegicus";"29";"237";"10116";"False"
"CHEMBL614606";"Chlamydia trachomatis";"";"ORGANISM";"Chlamydia trachomatis";"165";"503";"813";"False"
"CHEMBL4296543";"Trachea/thoracic aorta";"";"TISSUE";"Rattus norvegicus";"10";"10";"10116";"False"
"CHEMBL4296541";"Trachea";"";"TISSUE";"Cavia porcellus";"36";"37";"10141";"False"
"CHEMBL613452";"Trachea";"";"TISSUE";"Cricetinae";"5";"5";"10026";"False"
