"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL3831288";"Selectin";"P14151|P16581|P16109";"PROTEIN FAMILY";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3161";"Leukocyte adhesion molecule-1";"P14151";"SINGLE PROTEIN";"Homo sapiens";"134";"145";"9606";"False"
"CHEMBL4106134";"FASN/HER2";"P04626|P49327";"PROTEIN COMPLEX";"Homo sapiens";"1";"2";"9606";"False"
"CHEMBL3162";"Leukocyte adhesion molecule-1";"P18337";"SINGLE PROTEIN";"Mus musculus";"33";"35";"10090";"False"
"CHEMBL2111431";"Epidermal growth factor receptor and ErbB2 (HER1 and HER2)";"P04626|P00533";"PROTEIN FAMILY";"Homo sapiens";"165";"180";"9606";"False"
"CHEMBL2176858";"C-type lectin domain family 4 member M";"Q9H2X3";"SINGLE PROTEIN";"Homo sapiens";"6";"6";"9606";"False"
"CHEMBL2363049";"Epidermal growth factor receptor";"P04626|P00533|Q15303|P21860";"PROTEIN FAMILY";"Homo sapiens";"1004";"2030";"9606";"False"
"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"P04626";"SINGLE PROTEIN";"Homo sapiens";"4962";"6927";"9606";"False"
